Log created: 2026-01-12 04:38:38
Type: staging
[2026-01-12 04:38:38][notice]Start creating staging site.
[2026-01-12 04:38:38][notice]server info fcgi:Off max execution time: 900 wp version:6.8.3 php version:8.3.22 db version:11.4.2 php ini:safe_mode: memory_limit:256M memory_get_usage:22.47 MB memory_get_peak_usage:29.24 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2026-01-12 04:38:38][notice]Start processing core.
[2026-01-12 04:38:38][notice]Prepare to copy core files.
[2026-01-12 04:38:38][notice]Retrieve the files required to copy.
[2026-01-12 04:38:38][notice]Create a cache file.
[2026-01-12 04:38:38][notice]Copying files starts from: 0
[2026-01-12 04:38:38][notice]Copying files from /var/www/wptbox to /var/www/wptbox/mystaging01
[2026-01-12 04:38:38][notice]The count of copied files: 500
[2026-01-12 04:38:38][notice]The next copying files starts from:500
[2026-01-12 04:38:39][notice]The count of copied files: 500
[2026-01-12 04:38:39][notice]The next copying files starts from:1000
[2026-01-12 04:38:39][notice]The count of copied files: 500
[2026-01-12 04:38:39][notice]The next copying files starts from:1500
[2026-01-12 04:38:39][notice]The count of copied files: 500
[2026-01-12 04:38:39][notice]The next copying files starts from:2000
[2026-01-12 04:38:40][notice]The count of copied files: 500
[2026-01-12 04:38:40][notice]The next copying files starts from:2500
[2026-01-12 04:38:40][notice]The count of copied files: 500
[2026-01-12 04:38:40][notice]The next copying files starts from:3000
[2026-01-12 04:38:40][notice]Copying core files is completed.
[2026-01-12 04:38:40][notice]Replacing table_prefix in wp-config.php is completed.
[2026-01-12 04:38:42][notice]Start processing wp-content.
[2026-01-12 04:38:42][notice]Prepare to copy wp-content files.
[2026-01-12 04:38:42][notice]Retrieve the files required to copy.
[2026-01-12 04:38:42][notice]Create a cache file.
[2026-01-12 04:38:43][notice]Copying files starts from: 0
[2026-01-12 04:38:43][notice]Copying files from /var/www/wptbox/wp-content to /var/www/wptbox/mystaging01/wp-content
[2026-01-12 04:38:43][notice]The count of copied files: 500
[2026-01-12 04:38:43][notice]The next copying files starts from:500
[2026-01-12 04:38:44][notice]The count of copied files: 500
[2026-01-12 04:38:44][notice]The next copying files starts from:1000
[2026-01-12 04:38:45][notice]The count of copied files: 500
[2026-01-12 04:38:45][notice]The next copying files starts from:1500
[2026-01-12 04:38:46][notice]The count of copied files: 500
[2026-01-12 04:38:46][notice]The next copying files starts from:2000
[2026-01-12 04:38:47][notice]The count of copied files: 500
[2026-01-12 04:38:47][notice]The next copying files starts from:2500
[2026-01-12 04:38:48][notice]The count of copied files: 500
[2026-01-12 04:38:48][notice]The next copying files starts from:3000
[2026-01-12 04:38:49][notice]The count of copied files: 500
[2026-01-12 04:38:49][notice]The next copying files starts from:3500
[2026-01-12 04:38:49][notice]The count of copied files: 500
[2026-01-12 04:38:49][notice]The next copying files starts from:4000
[2026-01-12 04:38:51][notice]The count of copied files: 500
[2026-01-12 04:38:51][notice]The next copying files starts from:4500
[2026-01-12 04:38:52][notice]The count of copied files: 500
[2026-01-12 04:38:52][notice]The next copying files starts from:5000
[2026-01-12 04:38:52][notice]The count of copied files: 500
[2026-01-12 04:38:52][notice]The next copying files starts from:5500
[2026-01-12 04:38:53][notice]The count of copied files: 500
[2026-01-12 04:38:53][notice]The next copying files starts from:6000
[2026-01-12 04:38:54][notice]The count of copied files: 500
[2026-01-12 04:38:54][notice]The next copying files starts from:6500
[2026-01-12 04:38:55][notice]The count of copied files: 500
[2026-01-12 04:38:55][notice]The next copying files starts from:7000
[2026-01-12 04:38:56][notice]The count of copied files: 500
[2026-01-12 04:38:56][notice]The next copying files starts from:7500
[2026-01-12 04:38:57][notice]The count of copied files: 500
[2026-01-12 04:38:57][notice]The next copying files starts from:8000
[2026-01-12 04:38:58][notice]The count of copied files: 500
[2026-01-12 04:38:58][notice]The next copying files starts from:8500
[2026-01-12 04:38:59][notice]The count of copied files: 500
[2026-01-12 04:38:59][notice]The next copying files starts from:9000
[2026-01-12 04:39:00][notice]The count of copied files: 500
[2026-01-12 04:39:00][notice]The next copying files starts from:9500
[2026-01-12 04:39:01][notice]The count of copied files: 500
[2026-01-12 04:39:01][notice]The next copying files starts from:10000
[2026-01-12 04:39:02][notice]The count of copied files: 500
[2026-01-12 04:39:02][notice]The next copying files starts from:10500
[2026-01-12 04:39:03][notice]The count of copied files: 500
[2026-01-12 04:39:03][notice]The next copying files starts from:11000
[2026-01-12 04:39:05][notice]The count of copied files: 500
[2026-01-12 04:39:05][notice]The next copying files starts from:11500
[2026-01-12 04:39:06][notice]The count of copied files: 500
[2026-01-12 04:39:06][notice]The next copying files starts from:12000
[2026-01-12 04:39:07][notice]The count of copied files: 500
[2026-01-12 04:39:07][notice]The next copying files starts from:12500
[2026-01-12 04:39:08][notice]The count of copied files: 500
[2026-01-12 04:39:08][notice]The next copying files starts from:13000
[2026-01-12 04:39:08][notice]The count of copied files: 500
[2026-01-12 04:39:08][notice]The next copying files starts from:13500
[2026-01-12 04:39:09][notice]The count of copied files: 500
[2026-01-12 04:39:09][notice]The next copying files starts from:14000
[2026-01-12 04:39:10][notice]The count of copied files: 500
[2026-01-12 04:39:10][notice]The next copying files starts from:14500
[2026-01-12 04:39:10][notice]The count of copied files: 500
[2026-01-12 04:39:10][notice]The next copying files starts from:15000
[2026-01-12 04:39:10][notice]Copying wp-content files is completed.
[2026-01-12 04:39:12][notice]Start processing plugins.
[2026-01-12 04:39:12][notice]Prepare to copy plugins files.
[2026-01-12 04:39:12][notice]Retrieve the files required to copy.
[2026-01-12 04:39:12][notice]Create a cache file.
[2026-01-12 04:39:12][notice]Copying files starts from: 0
[2026-01-12 04:39:12][notice]Copying files from /var/www/wptbox/wp-content/plugins to /var/www/wptbox/mystaging01/wp-content/plugins
[2026-01-12 04:39:12][notice]The count of copied files: 500
[2026-01-12 04:39:12][notice]The next copying files starts from:500
[2026-01-12 04:39:13][notice]The count of copied files: 500
[2026-01-12 04:39:13][notice]The next copying files starts from:1000
[2026-01-12 04:39:13][notice]The count of copied files: 500
[2026-01-12 04:39:13][notice]The next copying files starts from:1500
[2026-01-12 04:39:13][notice]The count of copied files: 500
[2026-01-12 04:39:13][notice]The next copying files starts from:2000
[2026-01-12 04:39:14][notice]The count of copied files: 500
[2026-01-12 04:39:14][notice]The next copying files starts from:2500
[2026-01-12 04:39:14][notice]The count of copied files: 500
[2026-01-12 04:39:14][notice]The next copying files starts from:3000
[2026-01-12 04:39:14][notice]The count of copied files: 500
[2026-01-12 04:39:14][notice]The next copying files starts from:3500
[2026-01-12 04:39:14][notice]The count of copied files: 500
[2026-01-12 04:39:14][notice]The next copying files starts from:4000
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:4500
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:5000
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:5500
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:6000
[2026-01-12 04:39:16][notice]The count of copied files: 500
[2026-01-12 04:39:16][notice]The next copying files starts from:6500
[2026-01-12 04:39:16][notice]The count of copied files: 500
[2026-01-12 04:39:16][notice]The next copying files starts from:7000
[2026-01-12 04:39:16][notice]The count of copied files: 500
[2026-01-12 04:39:16][notice]The next copying files starts from:7500
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:8000
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:8500
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:9000
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:9500
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:10000
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:10500
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:11000
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:11500
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:12000
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:12500
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:13000
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:13500
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:14000
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:14500
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:15000
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:15500
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:16000
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:16500
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:17000
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:17500
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:18000
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:18500
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:19000
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:19500
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:20000
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:20500
